model, language, method, passed, assertion, compilation, timeout, runtime
codegen2bmulti_old, js, Nominal, 12.8, 60.37, 26.22, 0.61, 0.0
codegen2bmulti_old, js, Partial, 40.85, 41.46, 17.68, 0.0, 0.0
codegen2bmulti_old, js, DocString, 10.46, 49.1, 39.68, 0.76, 0.0
codegen2bmulti_old, js, Syntax, 28.39, 38.21, 32.38, 1.02, 0.0
codegen2bmulti_old, js, Format, 24.29, 28.54, 46.71, 0.47, 0.0
codegen2bmulti_old, js, Function, 11.99, 55.83, 31.32, 0.85, 0.0
codegen2bmulti_old, java, Nominal, 12.8, 75.61, 3.05, 1.22, 7.32
codegen2bmulti_old, java, Partial, 56.71, 37.8, 3.05, 0.61, 1.83
codegen2bmulti_old, java, DocString, 12.43, 74.88, 4.41, 1.06, 7.22
codegen2bmulti_old, java, Syntax, 39.94, 36.99, 18.5, 0.83, 3.74
codegen2bmulti_old, java, Format, 44.55, 48.56, 3.82, 0.45, 2.62
codegen2bmulti_old, java, Function, 12.56, 75.39, 3.88, 1.14, 7.03
codegen2bmulti_old, cpp, Nominal, 12.8, 82.93, 3.05, 0.61, 0.61
codegen2bmulti_old, cpp, Partial, 10.98, 82.32, 2.44, 2.44, 1.83
codegen2bmulti_old, cpp, DocString, 12.78, 82.01, 3.74, 1.05, 0.41
codegen2bmulti_old, cpp, Syntax, 10.57, 82.99, 3.74, 2.44, 0.26
codegen2bmulti_old, cpp, Format, 13.56, 81.3, 2.01, 1.95, 1.18
codegen2bmulti_old, cpp, Function, 12.53, 83.52, 2.46, 1.06, 0.44
codegen2bmulti, js, Nominal, 14.63, 53.66, 31.1, 0.61, 0.0
codegen2bmulti, js, Partial, 37.8, 38.41, 23.78, 0.0, 0.0
codegen2bmulti, js, DocString, 10.3, 48.93, 39.91, 0.85, 0.0
codegen2bmulti, js, Syntax, 28.5, 38.35, 32.09, 1.06, 0.0
codegen2bmulti, js, Format, 29.65, 35.45, 34.29, 0.61, 0.0
codegen2bmulti, js, Function, 12.07, 56.16, 31.02, 0.75, 0.0
codegen2bmulti, java, Nominal, 12.8, 79.27, 2.44, 0.0, 5.49
codegen2bmulti, java, Partial, 56.71, 34.15, 5.49, 0.0, 3.66
codegen2bmulti, java, DocString, 11.2, 75.26, 6.95, 0.89, 5.71
codegen2bmulti, java, Syntax, 34.51, 36.99, 24.27, 0.53, 3.7
codegen2bmulti, java, Format, 46.69, 38.56, 11.77, 0.37, 2.62
codegen2bmulti, java, Function, 12.2, 74.7, 5.28, 1.16, 6.67
codegen2bmulti, cpp, Nominal, 12.8, 83.54, 2.44, 0.61, 0.61
codegen2bmulti, cpp, Partial, 12.2, 82.32, 2.44, 1.22, 1.83
codegen2bmulti, cpp, DocString, 12.99, 81.57, 3.89, 1.15, 0.4
codegen2bmulti, cpp, Syntax, 0.0, 100.0, 0.0, 0.0, 0.0
codegen2bmulti, cpp, Format, 13.92, 81.14, 2.5, 1.16, 1.28
codegen2bmulti, cpp, Function, 12.65, 82.26, 3.08, 1.48, 0.52
