,cpp_nominal,cpp_partial,cpp_nlaugmenter_EnglishInflectionalVariation,cpp_nlaugmenter_TenseTransformationFuture,cpp_nlaugmenter_ButterFingersPerturbation,cpp_nlaugmenter_ChangeCharCase,cpp_nlaugmenter_BackTranslation,cpp_nlaugmenter_SwapCharactersPerturbation,cpp_nlaugmenter_TenseTransformationPast,cpp_nlaugmenter_SynonymSubstitution,cpp_nlaugmenter_WhitespacePerturbation,cpp_nlaugmenter_SynonymInsertion,cpp_natgen_OperandSwap,cpp_natgen_ForWhileTransformer,cpp_natgen_VarRenamerNaive,cpp_natgen_DeadCodeInserter,cpp_natgen_VarRenamerRN,cpp_natgen_VarRenamerCB,cpp_format_split_lines,cpp_format_new_line_afterdoc,cpp_format_new_line_aftercode,cpp_format_tab_indent,cpp_format_new_lines,cpp_func_name_FuncRenameSynonymSub,cpp_func_name_FuncRenameInflectionalVariation,cpp_func_name_FuncRenameChangeChar,cpp_func_name_FuncRenameButterFinger,cpp_func_name_FuncRenameSwapChar,cpp_func_name_FuncRenameSnakeCase
0,116,111,121.0,118.0,127,128.0,118,118.0,113,121,123,124,113,115,164.0,160.0,164.0,164.0,110,104.0,112,108,112.0,147.0,145.0,161.0,161.0,133,116
1,14,15,13.0,14.0,15,13.0,19,17.0,18,16,9,8,19,16,,1.0,,,18,21.0,14,18,17.0,3.0,6.0,1.0,1.0,11,17
2,8,10,3.0,8.0,2,6.0,2,7.0,9,5,11,5,5,9,,,,,9,8.0,9,10,5.0,1.0,1.0,,,5,8
3,3,4,8.0,6.0,3,2.0,5,6.0,4,5,4,7,3,3,,1.0,,,6,2.0,6,2,6.0,4.0,2.0,,,1,4
4,3,3,3.0,2.0,3,4.0,4,,3,3,3,3,6,4,,,,,3,8.0,3,3,6.0,,3.0,,1.0,2,2
5,5,1,3.0,4.0,2,,3,4.0,3,3,2,4,5,5,,,,,2,6.0,7,5,4.0,1.0,,1.0,,4,5
6,4,9,,1.0,2,1.0,2,2.0,4,1,1,2,4,1,,2.0,,,6,5.0,2,3,,1.0,,,,1,1
7,1,1,5.0,3.0,1,2.0,4,2.0,2,3,3,3,2,4,,,,,2,,3,2,3.0,2.0,1.0,,,1,2
8,5,3,4.0,4.0,4,3.0,3,3.0,2,1,4,2,3,2,,,,,3,3.0,6,7,3.0,1.0,2.0,,1.0,3,4
9,2,6,2.0,,2,3.0,2,4.0,4,3,2,3,3,4,,,,,2,4.0,1,2,7.0,2.0,2.0,1.0,,1,2
10,3,1,2.0,4.0,3,2.0,2,1.0,2,3,2,3,1,1,,,,,3,3.0,1,4,1.0,2.0,2.0,,,2,3
