,default,op_swap
0,1,1
1,0,0
2,0,0
3,0,1
4,1,0
5,0,0
6,0,0
7,0,0
8,0,1
9,0,1
10,0,0
11,0,0
12,0,0
13,1,1
14,0,0
15,0,1
16,0,0
17,0,0
18,0,0
19,0,1
20,0,0
21,0,0
22,0,0
23,0,0
24,1,1
25,0,0
26,0,0
27,0,0
28,0,0
29,0,1
30,0,0
31,0,0
32,0,0
33,0,0
34,0,0
35,0,1
36,0,1
37,0,0
38,0,0
39,0,1
40,0,0
41,0,1
42,0,1
43,0,1
44,0,1
45,0,0
46,0,0
47,0,0
48,0,0
49,0,1
50,0,0
51,0,0
52,0,0
53,0,1
54,0,1
55,0,0
56,0,0
57,0,0
58,0,0
59,0,1
60,1,1
61,0,1
62,0,1
63,0,0
64,0,0
65,0,1
66,0,0
67,0,0
68,1,1
69,0,0
70,0,0
71,1,0
72,0,0
73,0,0
74,0,0
75,0,0
76,0,1
77,0,0
78,0,0
79,1,1
80,0,1
81,1,1
82,0,1
83,0,1
84,0,1
85,1,1
86,1,1
87,0,0
88,1,1
89,1,1
90,0,1
91,0,1
92,1,1
93,1,1
94,0,1
95,0,0
96,0,1
97,0,0
98,1,1
99,0,1
100,0,0
101,1,1
102,0,1
103,1,1
104,0,1
105,0,0
106,0,0
107,1,1
108,0,1
109,0,0
110,0,0
111,0,1
112,0,1
113,0,1
114,0,0
115,1,1
116,1,0
117,0,1
118,0,1
119,1,0
120,0,0
121,0,0
122,1,0
123,0,1
124,0,1
125,0,0
126,0,0
127,0,1
128,0,1
129,0,0
130,0,0
131,1,1
132,0,0
133,0,1
134,0,1
135,0,0
136,0,0
137,0,0
138,0,0
139,0,0
140,0,1
141,0,1
142,0,1
143,0,0
144,0,1
145,0,0
146,0,0
147,0,0
148,0,0
149,0,1
150,0,0
151,0,0
152,0,1
153,0,1
154,0,0
155,0,0
156,0,1
157,0,1
158,0,0
159,0,0
160,1,1
161,0,1
162,0,0
163,0,0
