,java_nlaugmenter_EnglishInflectionalVariation,java_nlaugmenter_TenseTransformationFuture,java_nlaugmenter_ButterFingersPerturbation,java_nlaugmenter_ChangeCharCase,java_nlaugmenter_BackTranslation,java_nlaugmenter_SwapCharactersPerturbation,java_nlaugmenter_TenseTransformationPast,java_nlaugmenter_SynonymSubstitution,java_nlaugmenter_WhitespacePerturbation,java_nlaugmenter_SynonymInsertion,java_natgen_OperandSwap,java_natgen_ForWhileTransformer,java_natgen_VarRenamerNaive,java_natgen_DeadCodeInserter,java_natgen_VarRenamerRN,java_natgen_VarRenamerCB,java_format_split_lines,java_format_new_line_afterdoc,java_format_new_line_aftercode,java_format_tab_indent,java_format_doc2comments,java_format_new_lines,java_func_name_FuncRenameSynonymSub,java_func_name_FuncRenameInflectionalVariation,java_func_name_FuncRenameChangeChar,java_func_name_FuncRenameButterFinger,java_func_name_FuncRenameSwapChar,java_func_name_FuncRenameSnakeCase
0,117,109,,,,111,106,119,120,118,67,62,64,105,67.0,69,164.0,46,48,45,46,42,107,117,114,105,115,112
1,12,11,,,,17,21,11,9,14,9,11,10,10,10.0,11,,13,10,10,11,10,22,12,13,21,10,17
2,8,9,,,,8,13,6,3,7,5,8,9,12,8.0,8,,6,8,7,10,12,13,7,9,12,10,6
3,5,6,,,,5,2,5,6,7,4,8,7,4,3.0,6,,5,5,4,5,7,4,6,5,2,5,4
4,3,9,,,,5,2,3,9,1,10,6,5,3,6.0,5,,5,7,5,3,9,3,6,5,8,7,2
5,3,5,,,,6,4,7,4,5,2,2,5,1,,2,,2,5,3,4,6,5,4,6,2,8,6
6,3,3,,,,3,5,4,2,4,1,9,3,6,10.0,3,,5,6,10,7,2,2,4,3,5,3,5
7,5,6,,,,1,5,3,7,2,6,8,6,3,5.0,3,,3,7,6,11,4,4,3,3,3,1,6
8,3,2,,,,4,2,3,1,4,4,9,9,1,8.0,4,,9,10,3,9,9,1,2,3,2,1,3
9,4,2,,,,2,3,2,2,1,20,11,13,2,7.0,11,,9,11,14,12,7,1,2,2,3,3,1
10,1,2,,,,2,1,1,1,1,36,30,33,17,40.0,42,,61,47,57,46,56,2,1,1,1,1,2
