,js_nlaugmenter_EnglishInflectionalVariation,js_nlaugmenter_TenseTransformationFuture,js_nlaugmenter_ButterFingersPerturbation,js_nlaugmenter_ChangeCharCase,js_nlaugmenter_BackTranslation,js_nlaugmenter_SwapCharactersPerturbation,js_nlaugmenter_TenseTransformationPast,js_nlaugmenter_SynonymSubstitution,js_nlaugmenter_WhitespacePerturbation,js_nlaugmenter_SynonymInsertion,js_natgen_OperandSwap,js_natgen_ForWhileTransformer,js_natgen_VarRenamerNaive,js_natgen_DeadCodeInserter,js_natgen_VarRenamerRN,js_natgen_VarRenamerCB,js_format_split_lines,js_format_new_line_afterdoc,js_format_new_line_aftercode,js_format_tab_indent,js_format_doc2comments,js_format_new_lines,js_func_name_FuncRenameSynonymSub,js_func_name_FuncRenameInflectionalVariation,js_func_name_FuncRenameChangeChar,js_func_name_FuncRenameButterFinger,js_func_name_FuncRenameSwapChar,js_func_name_FuncRenameSnakeCase
0,6,7.0,7.0,19.0,3.0,10.0,5.0,12.0,13.0,10.0,5,11.0,5,59.0,6.0,9,163.0,2,,7,160.0,2,5.0,3.0,7.0,5,9,7.0
1,14,16.0,24.0,19.0,14.0,9.0,13.0,9.0,22.0,11.0,12,16.0,11,21.0,14.0,10,1.0,2,10.0,19,4.0,9,15.0,6.0,10.0,10,13,13.0
2,19,20.0,21.0,31.0,15.0,29.0,20.0,24.0,19.0,22.0,15,19.0,17,13.0,19.0,20,,9,12.0,20,,10,19.0,24.0,24.0,28,14,18.0
3,33,34.0,24.0,30.0,34.0,31.0,42.0,27.0,18.0,21.0,23,18.0,27,18.0,27.0,28,,13,17.0,27,,7,31.0,31.0,29.0,20,30,42.0
4,37,34.0,36.0,30.0,20.0,33.0,28.0,28.0,24.0,38.0,31,24.0,32,14.0,22.0,21,,18,27.0,21,,24,29.0,30.0,32.0,28,40,34.0
5,25,22.0,22.0,24.0,30.0,22.0,25.0,31.0,28.0,29.0,23,23.0,21,17.0,31.0,29,,26,27.0,28,,32,29.0,30.0,18.0,26,26,16.0
6,15,14.0,15.0,8.0,31.0,16.0,7.0,25.0,16.0,18.0,17,28.0,22,9.0,19.0,16,,32,18.0,17,,29,25.0,22.0,24.0,24,21,14.0
7,9,12.0,9.0,3.0,12.0,7.0,17.0,4.0,15.0,9.0,25,17.0,17,7.0,17.0,18,,29,22.0,10,,20,9.0,8.0,9.0,15,5,17.0
8,3,3.0,5.0,,4.0,3.0,4.0,3.0,7.0,5.0,7,6.0,7,3.0,6.0,10,,16,17.0,11,,13,2.0,9.0,7.0,6,3,3.0
9,2,2.0,1.0,,1.0,4.0,3.0,1.0,2.0,1.0,5,2.0,4,3.0,3.0,2,,16,12.0,3,,17,,1.0,4.0,1,1,
10,1,,,,,,,,,,1,,1,,,1,,1,2.0,1,,1,,,,1,2,
