model, language, method, passed, assertion, compilation, timeout, runtime
codegen6bmulti, js, Nominal, 16.46, 47.56, 34.76, 1.22, 0.0
codegen6bmulti, js, Partial, 43.9, 38.41, 17.07, 0.61, 0.0
codegen6bmulti, js, DocString, 12.79, 42.39, 44.15, 0.67, 0.0
codegen6bmulti, js, Syntax, 33.09, 38.6, 27.54, 0.77, 0.0
codegen6bmulti, js, Format, 23.11, 27.58, 49.13, 0.18, 0.0
codegen6bmulti, js, Function, 14.59, 46.87, 37.7, 0.83, 0.0
codegen6bmulti, java, Nominal, 15.85, 68.9, 1.83, 1.83, 11.59
codegen6bmulti, java, Partial, 54.88, 38.41, 3.05, 0.0, 3.66
codegen6bmulti, java, DocString, 13.0, 68.01, 11.13, 1.63, 6.22
codegen6bmulti, java, Syntax, 38.31, 32.46, 24.8, 0.93, 3.5
codegen6bmulti, java, Format, 45.22, 29.67, 22.34, 0.26, 2.5
codegen6bmulti, java, Function, 12.46, 70.63, 9.63, 0.87, 6.4
codegen6bmulti, cpp, Nominal, 14.63, 81.1, 2.44, 1.22, 0.61
codegen6bmulti, cpp, Partial, 20.12, 75.0, 2.44, 1.22, 1.22
codegen6bmulti, cpp, DocString, 13.84, 81.41, 2.76, 1.29, 0.7
codegen6bmulti, cpp, Syntax, 12.83, 79.59, 4.55, 2.8, 0.22
codegen6bmulti, cpp, Format, 17.54, 76.75, 2.56, 1.85, 1.3
codegen6bmulti, cpp, Function, 13.1, 82.37, 1.95, 1.64, 0.94
codegen2bmulti, js, Nominal, 12.8, 60.37, 26.22, 0.61, 0.0
codegen2bmulti, js, Partial, 40.85, 41.46, 17.68, 0.0, 0.0
codegen2bmulti, js, DocString, 10.46, 49.1, 39.68, 0.76, 0.0
codegen2bmulti, js, Syntax, 28.39, 38.21, 32.38, 1.02, 0.0
codegen2bmulti, js, Format, 24.29, 28.54, 46.71, 0.47, 0.0
codegen2bmulti, js, Function, 11.99, 55.83, 31.32, 0.85, 0.0
codegen2bmulti, java, Nominal, 12.8, 75.61, 3.05, 1.22, 7.32
codegen2bmulti, java, Partial, 56.71, 37.8, 3.05, 0.61, 1.83
codegen2bmulti, java, DocString, 12.43, 74.88, 4.41, 1.06, 7.22
codegen2bmulti, java, Syntax, 39.94, 36.99, 18.5, 0.83, 3.74
codegen2bmulti, java, Format, 44.55, 48.56, 3.82, 0.45, 2.62
codegen2bmulti, java, Function, 12.56, 75.39, 3.88, 1.14, 7.03
codegen2bmulti, cpp, Nominal, 12.8, 82.93, 3.05, 0.61, 0.61
codegen2bmulti, cpp, Partial, 10.98, 82.32, 2.44, 2.44, 1.83
codegen2bmulti, cpp, DocString, 12.78, 82.01, 3.74, 1.05, 0.41
codegen2bmulti, cpp, Syntax, 10.57, 82.99, 3.74, 2.44, 0.26
codegen2bmulti, cpp, Format, 13.56, 81.3, 2.01, 1.95, 1.18
codegen2bmulti, cpp, Function, 12.53, 83.52, 2.46, 1.06, 0.44
incoder1b, js, Nominal, 1.83, 0.0, 98.17, 0.0, 0.0
incoder1b, js, Partial, 1.83, 0.0, 98.17, 0.0, 0.0
incoder1b, js, DocString, 1.83, 0.0, 98.17, 0.0, 0.0
incoder1b, js, Syntax, 1.83, 0.0, 98.17, 0.0, 0.0
incoder1b, js, Format, 1.83, 0.0, 98.17, 0.0, 0.0
incoder1b, js, Function, 1.83, 0.0, 98.17, 0.0, 0.0
incoder1b, java, Nominal, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, java, Partial, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, java, DocString, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, java, Syntax, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, java, Format, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, java, Function, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, cpp, Nominal, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, cpp, Partial, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, cpp, DocString, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, cpp, Syntax, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, cpp, Format, 0.0, 100.0, 0.0, 0.0, 0.0
incoder1b, cpp, Function, 0.0, 100.0, 0.0, 0.0, 0.0
